ID,Año,"Medicos_generales_especialistas_y_odontologos",Personal_medico_en_formacion,Medicos_en_otras_labores,Enfermeras_generales_y_especialistas,Pasantes_de_enfermeria,Auxiliares_de_enfermeria,Personal_de_enfermeria_en_otras_labores,Personal_profesional,Personal_tecnico,Otro_personal,TOTAL,ID_Estado
290,2013,2834,1312,272,3118,254,2001,279,1106,1400,3437,16013,24
291,2014,2880,1348,267,3204,239,1933,274,1145,1390,3392,16072,24
292,2015,3023,1350,564,3319,237,1898,303,725,1640,3127,16186,24
293,2016,3210,1429,206,3437,585,2376,240,1130,1899,3222,17734,24
294,2017,3209,1448,222,3345,549,2430,231,1168,1918,3334,17854,24
295,2018,3239,1359,235,3538,725,2308,252,1129,2179,3466,18430,24
296,2019,3185,1215,194,3427,653,2203,245,1070,2118,3201,17511,24
297,2020,3190,1361,283,3270,611,2625,340,948,2137,3554,18319,24
298,2021,3228,1434,292,3303,512,2598,358,943,2163,3619,18450,24
299,2022,3117,1354,275,3336,725,2315,356,902,2200,3587,18167,24
300,2023,2968,1805,266,2994,619,2209,317,729,2081,3014,17002,24
301,2012,3965,727,387,3607,205,2404,407,1620,1332,4441,19095,25
302,2013,4065,704,367,3665,222,2471,415,1647,1375,4576,19507,25
303,2014,4411,1006,410,4198,381,2601,603,1820,1444,5156,22030,25
304,2015,4570,1003,532,4334,353,2602,570,1133,1798,4908,21803,25
305,2016,4676,1377,312,4360,572,2734,521,1162,2580,4675,22969,25
306,2017,4852,1623,339,4703,623,2774,468,1171,2678,4945,24176,25
307,2018,4751,1640,428,4669,907,2689,471,1183,2933,4947,24618,25
308,2019,4691,1719,369,4240,863,2640,532,1231,2889,4705,23879,25
309,2020,4938,1548,603,5066,549,2696,535,1185,3013,5356,25489,25
310,2021,4988,1807,612,5229,749,2585,556,1330,2959,5215,26030,25
311,2022,5153,2305,511,5835,869,2191,592,1423,3139,5586,27604,25
312,2023,5380,3258,466,6076,900,2225,613,1862,3173,5718,29671,25
313,2012,3330,1243,429,4116,316,2074,515,1636,1413,5840,20912,26
314,2013,3614,1264,469,4559,321,2220,535,1764,1576,6290,22612,26
315,2014,4184,1153,593,5076,453,2490,547,1929,1478,6965,24868,26
316,2015,4729,1242,885,5235,568,2287,607,1131,1838,6727,25249,26
317,2016,4514,1379,523,5350,650,2498,574,1211,2796,6403,25898,26
318,2017,4816,1664,479,5488,579,2437,786,1397,2965,6398,27009,26
319,2018,4759,1527,551,5690,510,2351,872,1361,3316,6574,27511,26
320,2019,4981,1637,472,5879,443,2401,958,1469,3397,6763,28400,26
321,2020,4412,1721,455,5697,450,2304,703,1308,3321,6113,26484,26
322,2021,4804,2249,502,5880,376,2354,850,1462,3401,6096,27974,26
